,website,url,headline,entities
0,CNN,https://edition.cnn.com/world/live-news/coronavirus-pandemic-08-14-20-intl/index.html,What you need to know,[]
1,CNN,https://edition.cnn.com/world/live-news/coronavirus-pandemic-08-14-20-intl/index.html,Inside the multibillion dollar vaccine race,"[('multibillion dollar', 'MONEY')]"
2,CNN,https://edition.cnn.com/world/live-news/coronavirus-pandemic-08-14-20-intl/index.html,New Zealand extends coronavirus restrictions for 12 more days,"[('New Zealand', 'GPE'), ('12 more days', 'DATE')]"
3,CNN,https://edition.cnn.com/world/live-news/coronavirus-pandemic-08-14-20-intl/index.html,"United States reports more than 51,000 coronavirus cases","[('United States', 'GPE'), ('more than 51,000', 'CARDINAL')]"
4,CNN,https://edition.cnn.com/world/live-news/coronavirus-pandemic-08-14-20-intl/index.html,It's almost 6.30 p.m. in Wellington and 9.30 a.m. in Moscow. Here's the latest on the coronavirus pandemic,"[('almost 6.30 p.m.', 'TIME'), ('Wellington', 'GPE'), ('9.30 a.m.', 'TIME'), ('Moscow', 'GPE')]"
5,CNN,https://edition.cnn.com/world/live-news/coronavirus-pandemic-08-14-20-intl/index.html,"Doctor deaths from Covid-19 in India have reached ""alarming"" levels, Indian Medical Association says","[('India', 'GPE'), ('Indian Medical Association', 'ORG')]"
6,CNN,https://edition.cnn.com/world/live-news/coronavirus-pandemic-08-14-20-intl/index.html,President Bolsonaro says Brazil is in better economic shape than most other countries amid Covid-19,"[('Bolsonaro', 'PERSON'), ('Brazil', 'GPE')]"
7,CNN,https://edition.cnn.com/world/live-news/coronavirus-pandemic-08-14-20-intl/index.html,India announces air corridor with Maldives to bolster tourism,"[('India', 'GPE'), ('Maldives', 'GPE')]"
8,CNN,https://edition.cnn.com/world/live-news/coronavirus-pandemic-08-14-20-intl/index.html,"India reports more than 64,500 coronavirus cases","[('India', 'GPE'), ('more than 64,500', 'CARDINAL')]"
9,CNN,https://edition.cnn.com/world/live-news/coronavirus-pandemic-08-14-20-intl/index.html,South Korea sees over 100 new coronavirus cases for first time since April,"[('South Korea', 'GPE'), ('over 100', 'CARDINAL'), ('first', 'ORDINAL'), ('April', 'DATE')]"
10,NBC,https://www.nbcnews.com/health/coronavirus,Record U.S. coronavirus fatalities and 'startling surge' of cases in children and teens,"[('U.S.', 'GPE')]"
11,NBC,https://www.nbcnews.com/health/coronavirus,Trump's tweet about college football is the epitome of COVID-19 irony. Here's why.,"[('Trump', 'PERSON')]"
12,NBC,https://www.nbcnews.com/health/coronavirus,House Democrats demand Postal Service chief roll back changes ahead of Election Day,"[('House', 'ORG'), ('Democrats', 'NORP'), ('Postal Service', 'ORG'), ('Election Day', 'DATE')]"
13,NBC,https://www.nbcnews.com/health/coronavirus,"California passes 600,000 coronavirus cases","[('California', 'GPE'), ('600,000', 'CARDINAL')]"
14,NBC,https://www.nbcnews.com/health/coronavirus,"3-year-old with autism and family kicked off Southwest flight over mask, mother says","[('Southwest', 'LOC')]"
15,NBC,https://www.nbcnews.com/health/coronavirus,California parents sue Gov. Gavin Newsom to open schools for in-person learning,"[('California', 'GPE'), ('Gavin Newsom', 'PERSON')]"
16,NBC,https://www.nbcnews.com/health/coronavirus,Coronavirus threatens the survival of indigenous Colombians,"[('Coronavirus', 'ORG'), ('Colombians', 'NORP')]"
17,NBC,https://www.nbcnews.com/health/coronavirus,They were already struggling. Then they were hit by cash lenders' 'gangster' tactics.,[]
18,NBC,https://www.nbcnews.com/health/coronavirus,Georgia high school closed due to coronavirus in district with 1K in quarantine,"[('Georgia', 'GPE'), ('1K', 'QUANTITY')]"
19,NBC,https://www.nbcnews.com/health/coronavirus,Dallas Cowboys owner Jerry Jones expects fans to attend home games,"[('Dallas', 'GPE'), ('Jerry Jones', 'PERSON')]"
20,NBC,https://www.nbcnews.com/health/coronavirus,"Landlords could exploit COVID-19 victims to fast-track evictions, housing advocates say",[]
21,NBC,https://www.nbcnews.com/health/coronavirus,These viral COVID-19 mask 'exemptions' are legally — and morally — indefensible,[]
22,NBC,https://www.nbcnews.com/health/coronavirus,Trump's COVID-19 proxy Dr. Birx reveals danger of putting career over country,"[('Trump', 'PERSON'), ('Birx', 'PERSON')]"
23,NBC,https://www.nbcnews.com/health/coronavirus,I'm an ER doctor. Here's a troubling reason patients ignore COVID-19 advice.,[]
24,NBC,https://www.nbcnews.com/health/coronavirus,COVID-19 stimulus standoff is an opportunity to undo Trumpian damage. Here's how.,"[('Trumpian', 'NORP')]"
25,NBC,https://www.nbcnews.com/health/coronavirus,How the pandemic could force schools in California — and beyond — to rethink education,"[('California', 'GPE')]"
26,NBC,https://www.nbcnews.com/health/coronavirus,A look at the back-to-school debate through a teacher’s eyes,[]
27,NBC,https://www.nbcnews.com/health/coronavirus,"Mom, teacher, lunch buddy: Parents gear up for a virtual start to the school year","[('the school year', 'DATE')]"
28,NBC,https://www.nbcnews.com/health/coronavirus,California mayor says it's time to rethink living wages in America,"[('California', 'GPE'), ('America', 'GPE')]"
29,NBC,https://www.nbcnews.com/health/coronavirus,People with disabilities are more at risk during pandemic. Here’s how they’re dealing with it.,[]
30,NBC,https://www.nbcnews.com/health/coronavirus,"The complicated balancing act of church, state and the coronavirus ",[]
31,NBC,https://www.nbcnews.com/health/coronavirus,Does air conditioning spread the coronavirus?,[]
32,NBC,https://www.nbcnews.com/health/coronavirus,Trump blames testing for spike in COVID-19 cases. Experts disagree. ,[]
33,NBC,https://www.nbcnews.com/health/coronavirus,Is this the second wave of COVID-19 in the U.S.? Or are we still in the first?,"[('second', 'ORDINAL'), ('U.S.', 'GPE'), ('first', 'ORDINAL')]"
